Lesson,Part,英語,発音,品詞,意味,英語例文,日本語訳,なんでもメモ
1,1,Ms.,[mɪz],名,〈女性に対して〉〜さん、〜先生,Ms. Nonaka! — Yes?,野中先生！ — なんですか？,
1,1,I'm,[aɪm],短,I am の短縮形,I'm hungry.,おなかへった。,
1,1,often,[ˈɔːfən],副,よく,My brother often reads manga in the bathroom.,うちの兄はよくトイレでマンガを読んでいます。,
1,1,be good at 〜,[—],句,〜が上手である,"Oh, you are good at drawing camels.",わ、ラクダの絵描くの上手。,
1,2,fan,[fæn],名,ファン,I'm not a fan of soccer.,サッカーは好きじゃないの。,
1,2,every,[ˈevri],形,どの〜も、毎〜,"Gah, every unit has new words to learn.",もー、どの単元にも新出単語があるー。,
1,2,every day,[—],句,毎日,Do 50 sit-ups every day!,毎日腹筋50回だ！,
1,2,don't,[doʊnt],短,do not の短縮形,"Oh, don't open that! — Why?",あ、それ開けちゃだめ！ — なんで？,
1,2,after,[ˈæftər],前,〜のあとに,Please leave your message after the beep.,発信音のあとにメッセージをどうぞ。,反対はbefore（～の前に）
1,2,after school,[—],句,放課後,I practice tennis almost every day after school.,放課後はほとんど毎日テニスを練習しています。,
1,2,hip-hop,[ˈhɪp hɑːp],名,〈音楽の〉ヒップホップ,"I sometimes listen to hip-hop, too.",ヒップホップもたまに聞くよ。,
1,2,dancer,[ˈdænsər],名,踊る人,This actor is a good singer and dancer.,この俳優さん歌もダンスもうまいよね。,
1,3,rock,[rɑːk],名,〈音楽の〉ロック,Do you know U2? The Irish rock band.,U2って知ってる？ アイルランドのロックバンドの。,
1,3,action,[ˈækʃən],名,動作,"""Play"" is an action verb, and ""like"" is a state verb.",「play」は動作動詞、「like」は状態動詞です。,動詞はact（行動する）
1,3,anime,[ˈænəmi],名,〈日本の〉アニメ,I love the main theme song of this anime.,このアニメの主題歌がめっちゃ好き。,
1,3,manga,[ˈmæŋgə],名,〈日本の〉マンガ,I really like this manga artist.,この漫画家さんすごい好き。,
1,3,weekend,[ˈwiːkend],名,週末,Have a nice weekend. — Thanks. You too.,よい週末を。 — ありがとう。きみもね。,
1,3,at home,[—],句,家で[に],Are you at home right now? — I am. What's up?,今、家にいる？ — いるよ。どうしたの？,
1,3,take a picture,[—],句,写真を撮る,Can you take a picture of us?,私たちの写真を1枚撮ってくれませんか？,
1,3,look at 〜,[—],句,〜を見る,"Okay, look at the blackboard.",はいー、黒板見てー。,
1,3,pet,[pet],名,ペット,I want to have a donkey as a pet.,ペットにロバを飼いたいです。,
1,Goal Activity,love,[lʌv],動,愛する,I love boiled eggs.,ゆで卵大好き。,
1,Goal Activity,flavor,[ˈfleɪvər],名,風味,What flavor is that? — It's rum raisin.,それ何味？ — ラムレーズン。,動詞もflavor（風味をつける）
1,Goal Activity,tablet,[ˈtæblət],名,平板、タブレット,"Oh, I forgot to charge my tablet again.",あー、またタブレット充電するの忘れてた。,
