カテゴリー,英語,発音,日本語
状態や動作を表すことば,draw,[drɔː],（線画を）描く
状態や動作を表すことば,look,[lʊk],目を向ける
状態や動作を表すことば,watch,[wɑːtʃ],注意して見る
状態や動作を表すことば,see,[siː],目に入る
状態や動作を表すことば,meet,[miːt],会う
状態や動作を表すことば,eat,[iːt],食べる
状態や動作を表すことば,drink,[drɪŋk],飲む
状態や動作を表すことば,cook,[kʊk],料理する
状態や動作を表すことば,make,[meɪk],作る
状態や動作を表すことば,clean,[kliːn],掃除する
状態や動作を表すことば,wash,[wɑːʃ],洗う
状態や動作を表すことば,stand,[stænd],立つ
状態や動作を表すことば,walk,[wɔːk],歩く
状態や動作を表すことば,run,[rʌn],走る
状態や動作を表すことば,swim,[swɪm],泳ぐ
状態や動作を表すことば,enjoy,[ɪnˈdʒɔɪ],楽しむ
状態や動作を表すことば,use,[juːz],使う
状態や動作を表すことば,ride,[raɪd],乗る
状態や動作を表すことば,buy,[baɪ],買う
状態や動作を表すことば,try,[traɪ],試みる
状態や動作を表すことば,help,[help],手伝う
状態や動作を表すことば,take,[teɪk],持っていく
状態や動作を表すことば,live,[lɪv],住んでいる
状態や動作を表すことば,go,[ɡoʊ],行く
状態や動作を表すことば,leave,[liːv],去る
状態や動作を表すことば,turn,[tɜːrn],曲がる
状態や動作を表すことば,visit,[ˈvɪzɪt],訪れる
状態や動作を表すことば,travel,[ˈtrævl],旅行する
状態や動作を表すことば,know,[noʊ],知っている
状態や動作を表すことば,think,[θɪŋk],思う
状態や動作を表すことば,guess,[ɡes],推測する
名詞をくわしくできることば,happy,[ˈhæpi],幸せな
名詞をくわしくできることば,sad,[sæd],悲しい
名詞をくわしくできることば,busy,[ˈbɪzi],忙しい
名詞をくわしくできることば,tired,[ˈtaɪərd],疲れた
名詞をくわしくできることば,hungry,[ˈhʌŋɡri],空腹な
名詞をくわしくできることば,sleepy,[ˈsliːpi],眠い
名詞をくわしくできることば,good,[ɡʊd],よい
名詞をくわしくできることば,nice,[naɪs],すてきな、よい
名詞をくわしくできることば,kind,[kaɪnd],親切な
名詞をくわしくできることば,big,[bɪɡ],大きい
名詞をくわしくできることば,large,[lɑːrdʒ],広い、大きい
名詞をくわしくできることば,small,[smɔːl],小さい
名詞をくわしくできることば,new,[nuː],新しい
名詞をくわしくできることば,old,[oʊld],古い、年をとった
名詞をくわしくできることば,hot,[hɑːt],熱い、暑い
名詞をくわしくできることば,cold,[koʊld],冷たい、寒い
名詞をくわしくできることば,long,[lɔːŋ],長い
名詞をくわしくできることば,short,[ʃɔːrt],短い
名詞をくわしくできることば,easy,[ˈiːzi],簡単な
名詞をくわしくできることば,difficult,[ˈdɪfɪkʌlt],難しい
名詞をくわしくできることば,same,[seɪm],同じ
名詞をくわしくできることば,different,[ˈdɪfrənt],ちがう
名詞をくわしくできることば,cute,[kjuːt],かわいい
名詞をくわしくできることば,beautiful,[ˈbjuːtɪfl],美しい
名詞をくわしくできることば,wonderful,[ˈwʌndərfl],すばらしい
名詞をくわしくできることば,interesting,[ˈɪntrəstɪŋ],興味深い、おもしろい
名詞をくわしくできることば,exciting,[ɪkˈsaɪtɪŋ],興奮させるような
名詞をくわしくできることば,famous,[ˈfeɪməs],有名な
